Date,Open,High,Low,Close,Volume
2024-01-12T00:00:00+05:30,234.8,236.65,232.5,233.0,1579129
2024-01-15T00:00:00+05:30,233.25,234.4,228.1,230.85,3416114
2024-01-16T00:00:00+05:30,231.4,234.75,228.75,231.8,7267208
2024-01-17T00:00:00+05:30,229.7,230.4,222.6,223.65,5077713
2024-01-18T00:00:00+05:30,223.0,225.35,216.5,223.15,3988759
2024-01-19T00:00:00+05:30,224.15,227.5,223.0,223.8,2537776
2024-01-20T00:00:00+05:30,224.7,226.6,223.95,225.75,1389852
2024-01-23T00:00:00+05:30,226.9,228.5,221.45,222.7,3756257
2024-01-24T00:00:00+05:30,223.0,237.35,222.75,235.3,13447714
2024-01-25T00:00:00+05:30,236.0,243.2,234.05,241.6,6531428
2024-01-29T00:00:00+05:30,242.0,249.0,241.1,243.05,5847555
2024-01-30T00:00:00+05:30,243.4,249.0,239.05,240.0,5438208
2024-01-31T00:00:00+05:30,240.05,246.65,239.25,243.95,4022875
2024-02-01T00:00:00+05:30,243.95,245.1,240.5,241.9,3029372
2024-02-02T00:00:00+05:30,242.95,255.0,242.8,248.45,11761230
2024-02-05T00:00:00+05:30,249.75,253.9,245.5,248.05,4477600
2024-02-06T00:00:00+05:30,249.6,257.05,248.0,254.7,6052874
2024-02-07T00:00:00+05:30,256.5,259.35,249.75,256.65,3617745
2024-02-08T00:00:00+05:30,265.2,266.0,257.85,258.75,6448635
2024-02-09T00:00:00+05:30,260.1,261.4,246.55,252.85,6484466
2024-02-12T00:00:00+05:30,252.85,254.65,239.05,240.75,7013243
2024-02-13T00:00:00+05:30,242.0,243.3,229.15,240.65,6176849
2024-02-14T00:00:00+05:30,236.1,245.4,236.1,243.4,4426916
2024-02-15T00:00:00+05:30,245.3,249.0,234.55,238.5,8960274
2024-02-16T00:00:00+05:30,238.5,238.7,229.3,230.85,5937348
2024-02-19T00:00:00+05:30,230.95,237.8,230.1,235.45,3508971
2024-02-20T00:00:00+05:30,236.0,238.1,232.25,235.2,2900531
2024-02-21T00:00:00+05:30,237.5,240.35,225.25,226.65,5898624
2024-02-22T00:00:00+05:30,227.55,229.8,224.7,227.15,4362030
2024-02-23T00:00:00+05:30,227.95,228.9,225.1,226.2,2536384
2024-02-26T00:00:00+05:30,228.2,231.3,224.6,225.3,3448696
2024-02-27T00:00:00+05:30,225.7,230.6,224.35,228.9,3485905
2024-02-28T00:00:00+05:30,229.2,236.0,229.05,230.9,11867178
2024-02-29T00:00:00+05:30,230.05,231.85,221.7,225.2,7468847
2024-03-01T00:00:00+05:30,226.9,231.5,224.45,229.75,5741809
2024-03-02T00:00:00+05:30,231.0,232.1,230.25,231.5,354136
2024-03-04T00:00:00+05:30,232.8,235.8,229.25,230.0,4394690
2024-03-05T00:00:00+05:30,231.5,232.65,228.35,229.0,2106828
2024-03-06T00:00:00+05:30,234.2,235.35,222.05,223.7,7929342
2024-03-07T00:00:00+05:30,224.75,229.8,224.25,225.4,3860278
2024-03-11T00:00:00+05:30,226.0,227.35,219.35,220.35,3110786
2024-03-12T00:00:00+05:30,220.4,220.8,212.5,213.35,3719891
2024-03-13T00:00:00+05:30,213.8,215.85,198.85,200.35,5658098
2024-03-14T00:00:00+05:30,200.1,204.0,198.75,201.0,4196921
2024-03-15T00:00:00+05:30,201.0,212.65,201.0,207.35,11425573
2024-03-18T00:00:00+05:30,207.5,210.4,205.2,208.15,3137225
2024-03-19T00:00:00+05:30,207.85,208.4,205.25,206.7,2817616
2024-03-20T00:00:00+05:30,206.9,209.9,200.4,202.15,5247070
2024-03-21T00:00:00+05:30,204.65,207.15,203.1,206.35,1925596
2024-03-22T00:00:00+05:30,206.25,207.75,205.0,205.35,1655818
2024-03-26T00:00:00+05:30,206.5,209.35,204.35,207.0,2983020
2024-03-27T00:00:00+05:30,207.0,208.6,204.2,204.95,2467316
2024-03-28T00:00:00+05:30,206.2,207.0,202.95,205.55,4179453
2024-04-01T00:00:00+05:30,205.8,212.75,205.8,211.65,1942544
2024-04-02T00:00:00+05:30,232.8,247.5,230.0,236.15,91062159
2024-04-03T00:00:00+05:30,235.0,239.7,233.55,236.3,11918047
2024-04-04T00:00:00+05:30,237.55,238.8,234.05,237.0,5410702
2024-04-05T00:00:00+05:30,237.0,241.9,235.2,237.35,6370434
2024-04-08T00:00:00+05:30,237.45,244.5,236.0,239.4,5838468
2024-04-09T00:00:00+05:30,239.5,240.5,235.0,237.3,2573224
2024-04-10T00:00:00+05:30,238.0,243.0,234.7,238.25,3437500
2024-04-12T00:00:00+05:30,238.1,240.4,233.0,233.95,3365147
2024-04-15T00:00:00+05:30,229.7,232.75,226.4,229.95,2905882
2024-04-16T00:00:00+05:30,227.75,231.95,226.55,231.0,1707829
2024-04-18T00:00:00+05:30,234.95,237.5,229.05,229.75,2238822
2024-04-19T00:00:00+05:30,228.0,232.45,225.5,231.55,1702525
2024-04-22T00:00:00+05:30,236.0,243.45,232.0,240.75,8535230
2024-04-23T00:00:00+05:30,241.95,273.2,237.05,263.5,31008521
2024-04-24T00:00:00+05:30,266.0,272.9,258.9,259.95,14788426
2024-04-25T00:00:00+05:30,260.0,268.45,258.15,265.0,11093240
2024-04-26T00:00:00+05:30,266.5,276.95,266.5,268.55,15435184
2024-04-29T00:00:00+05:30,271.0,274.4,264.6,268.85,6574300
2024-04-30T00:00:00+05:30,269.7,272.5,262.3,263.0,5878281
2024-05-02T00:00:00+05:30,263.65,267.45,263.0,263.85,3156674
2024-05-03T00:00:00+05:30,264.4,264.8,250.45,254.15,7606223
2024-05-06T00:00:00+05:30,258.0,258.75,247.35,250.5,3504481
2024-05-07T00:00:00+05:30,250.5,255.5,244.0,252.8,4508336
2024-05-08T00:00:00+05:30,254.35,256.0,248.85,252.75,3435351
2024-05-09T00:00:00+05:30,253.75,255.35,245.55,247.15,3881001
2024-05-10T00:00:00+05:30,247.45,259.3,245.6,256.85,4075069
2024-05-13T00:00:00+05:30,257.75,258.85,247.75,254.05,5938900
2024-05-14T00:00:00+05:30,255.4,260.75,252.65,258.55,3028687
2024-05-15T00:00:00+05:30,259.7,267.1,259.15,264.5,5435761
2024-05-16T00:00:00+05:30,264.25,266.0,260.05,263.15,2280441
2024-05-17T00:00:00+05:30,263.5,268.15,262.6,265.0,4973290
2024-05-18T00:00:00+05:30,266.0,266.35,262.0,263.7,386145
